last_season,current_club_id,country_of_citizenship,sub_position,foot,height_in_cm,agent_name,current_club_domestic_competition_id,highest_market_value_in_eur,valor_real,edad,contrato_restante,convocado,tempo_2018_titu,tempo_2019_titu,tempo_2020_titu,tempo_2021_titu,tempo_2022_titu,tempo_2023_titu,tempo_2024_titu,capitanias,temporada_2018_g,temporada_2019_g,temporada_2020_g,temporada_2021_g,temporada_2022_g,temporada_2023_g,temporada_2024_g,goles,asistencias,cambios,amarillas,club_id,stadium_seats,temporada_2018_a,temporada_2019_a,temporada_2020_a,temporada_2021_a,temporada_2022_a,temporada_2023_a,temporada_2024_a,jerarquia_rondas_CL,jerarquia_rondas_EL,jugador_ofensivo,efectividad
2019,86,Peru,Centre-Forward,right,184.0,,L1,12000000.0,488511.72704523354,40.0,,80.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,5.0,,86,42100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.1625
2019,127,Germany,Goalkeeper,right,188.0,,L1,1000000.0,61063.96588065419,36.0,,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,127,15000,,,,,,,,,,0,
2019,162,Switzerland,Goalkeeper,right,194.0,KBM,FR1,11500000.0,305319.82940327097,35.0,,53.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,162,18525,,,,,,,,,,0,
2018,4,Germany,Goalkeeper,right,184.0,,L1,1250000.0,62095.48260908303,34.0,,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4,50000,,,,,,,,,,0,
2019,38,Germany,Goalkeeper,right,190.0,Sports360 GmbH,L1,4500000.0,366383.79528392514,34.0,,48.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,1.0,,1.0,38,54600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,
2022,29,Switzerland,Goalkeeper,right,191.0,,GB1,1500000.0,117252.65081958147,37.0,1.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,29,39414,,,,,,,,,,0,
2019,167,Switzerland,Right-Back,right,182.0,,L1,17000000.0,977023.4540904671,34.0,,93.0,19.0,19.0,5.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,1.0,167,30660,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,0.043010752688172046
2018,130,Italy,Centre-Back,right,187.0,MM-Management,IT1,650000.0,248381.93043633213,34.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,2.0,1.0,130,22352,,,,,,,,,,0,
2018,1132,Ireland,Right Winger,right,183.0,,GB1,5500000.0,1862864.478272491,34.0,,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1132,21994,,,,,,,,,,1,
2024,1237,England,Central Midfield,right,175.0,,GB1,21000000.0,1021849.7406958038,38.0,1.0,248.0,33.0,24.0,12.0,19.0,12.0,5.0,2.0,51.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,37.0,6.0,1237,31876,8.0,7.0,1.0,2.0,2.0,2.0,0.0,,,0,0.13306451612903225
2022,5,Sweden,Centre-Forward,right,195.0,Team Raiola,IT1,46000000.0,2345053.0163916294,40.0,,85.0,0.0,0.0,27.0,23.0,3.0,1.0,0.0,1.0,0.0,0.0,22.0,14.0,1.0,1.0,0.0,38.0,12.0,12.0,1.0,5,75923,0.0,0.0,7.0,4.0,1.0,0.0,0.0,,,1,0.5882352941176471
2018,167,Germany,Centre-Back,right,188.0,,L1,2500000.0,124190.96521816606,33.0,,11.0,,,,,,,,,,,,,,,,,,,1.0,167,30660,,,,,,,,,,0,
